dataset_id,provider,official_url,free,license_or_terms,coverage_start,coverage_end,native_frequency,publication_delay,revision_policy,historical_vintages_available,causal_available_at,schema,format,quality,gaps,survivorship_status,corporate_actions,timezone,calendar,download_method,reproducibility,free_fallback,classification,rejection_reason
DS031,Philadelphia Fed — Aruoba-Diebold-Scotti Business Conditions Index,https://www.philadelphiafed.org/surveys-and-data/real-time-data-research/ads,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1960-03-01,current_or_provider_archive,daily index updated weekly,after release,history revised as data arrive,vintage files available in part,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Use only archived real-time vintages or model version snapshots.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS032,Chicago Fed — CFNAI real-time/vintage data,https://www.chicagofed.org/research/data/cfnai/current-data,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1967-03-01,current_or_provider_archive,monthly,scheduled release,revisions material,yes/archive,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Use release date and vintage.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS033,BLS CPI via ALFRED,https://alfred.stlouisfed.org/series?seid=CPIAUCSL,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1947-01-01,current_or_provider_archive,monthly,BLS release calendar,seasonal factors revise,yes,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Point-in-time inflation.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS034,BEA PCE price index via ALFRED,https://alfred.stlouisfed.org/series?seid=PCEPI,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1959-01-01,current_or_provider_archive,monthly,BEA release calendar,revisions material,yes,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Point-in-time inflation.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS035,BLS unemployment rate via ALFRED,https://alfred.stlouisfed.org/series?seid=UNRATE,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1948-01-01,current_or_provider_archive,monthly,employment report release,revisions,yes,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Use first release only.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS036,Federal Reserve industrial production via ALFRED,https://alfred.stlouisfed.org/series?seid=INDPRO,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1919-01-01,current_or_provider_archive,monthly,scheduled release,revisions material,yes,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Use first release/vintage.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS037,Census retail sales via ALFRED,https://alfred.stlouisfed.org/series?seid=RSAFS,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1992-01-01,current_or_provider_archive,monthly,scheduled release,revisions,yes,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Use release/vintage.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS038,Federal Reserve total assets via ALFRED,https://alfred.stlouisfed.org/series?seid=WALCL,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2002-12-18,current_or_provider_archive,weekly,Thursday H.4.1 release,revisions/corrections,yes,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Liquidity proxy with publication lag.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS039,M2 money stock via ALFRED,https://alfred.stlouisfed.org/series?seid=M2SL,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1959-01-01,current_or_provider_archive,monthly,scheduled release,definitions/revisions,yes,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Use real-time vintage.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS040,FRED — 10-Year Breakeven Inflation Rate,https://fred.stlouisfed.org/series/T10YIE,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2003-01-02,current_or_provider_archive,daily,after market data publication,may revise,yes_via_ALFRED,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Daily inflation-expectation proxy.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS041,FINRA — Margin Statistics,https://www.finra.org/rules-guidance/key-topics/margin-accounts/margin-statistics,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1997-01-01,current_or_provider_archive,monthly,several weeks after month end,official corrections possible,archives,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,"Use publication month/date, not reference month end.",not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS042,AAII — Investor Sentiment Survey history,https://www.aaii.com/sentimentsurvey/sent_results,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1987-07-24,current_or_provider_archive,weekly,Thursday publication,historical files/format can change,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Free access may require manual archival/terms review.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS043,NAAIM Exposure Index,https://www.naaim.org/programs/naaim-exposure-index/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2006-07-05,current_or_provider_archive,weekly,Wednesday publication,method/sample changes,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Archive and metadata repair required.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS044,Jeffrey Wurgler — investor sentiment data,https://pages.stern.nyu.edu/~jwurgler/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1965-07-01,current_or_provider_archive,monthly,author update; historical series,author may update construction,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Academic author dataset; slow regime feature.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS045,FRED / Baker-Bloom-Davis — U.S. Daily Economic Policy Uncertainty Index,https://fred.stlouisfed.org/series/USEPUINDXD,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1985-01-01,current_or_provider_archive,"daily, seven days per week",after source publication/FRED observation,method updates and source corrections possible,limited_via_FRED_release_metadata,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Free daily series; archive raw retrievals and map non-trading-day observations causally to the next SPY decision.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS046,FINRA — Daily Short Sale Volume Files,https://www.finra.org/finra-data/browse-catalog/short-sale-volume-data/daily-short-sale-volume-files,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2009-08-03,current_or_provider_archive,daily,after FINRA publication,official corrections possible,daily files/archive,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,not_runnable,"Regulation SHO short-sale volume is venue-flow data, not consolidated market short volume and not short interest; never interpret it as positioning without this qualification.",not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",not_execution_grade,See data_acquisition_plan.md; never substitute silently.,proxy_only,"Regulation SHO short-sale volume is venue-flow data, not consolidated market short volume and not short interest; never interpret it as positioning without this qualification."
DS047,Kenneth French Data Library — market factor/returns,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1926-07-01,current_or_provider_archive,daily/monthly,after period end,research library revisions possible,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,"Use for research cross-checks, not SPY execution pricing.",not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS048,Amit Goyal — equity premium predictor data,https://sites.google.com/view/agoyal145/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1871-01-01,current_or_provider_archive,monthly/annual,varies by component,research updates/revisions,no_complete_vintages,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Use only components reconstructable point-in-time; library itself is not a full vintage database.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS049,Robert Shiller — U.S. stock-market data,http://www.econ.yale.edu/~shiller/data.htm,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1871-01-01,current_or_provider_archive,monthly,monthly,historical revisions possible,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Long monthly context; not SPY daily execution data.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS050,FRED — Nominal Broad U.S. Dollar Index,https://fred.stlouisfed.org/series/DTWEXBGS,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2006-01-02,current_or_provider_archive,daily,following publication,occasional revisions,yes_via_ALFRED,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Cross-asset predictor.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS051,EIA/FRED — WTI spot price,https://fred.stlouisfed.org/series/DCOILWTICO,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1986-01-02,current_or_provider_archive,daily,provider publication lag,revisions/corrections,yes_via_ALFRED,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Commodity predictor; missing holidays.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS052,LBMA/FRED — London gold price,https://fred.stlouisfed.org/series/GOLDAMGBD228NLBM,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1968-04-01,current_or_provider_archive,daily fixing,after fixing/publication,corrections possible,yes_via_ALFRED,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Time-zone handling required.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS053,Stooq — HYG.US daily OHLCV,https://stooq.com/q/d/?s=hyg.us,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2007-04-04,current_or_provider_archive,daily,end of day,vendor may correct history,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Cross-asset predictor only. Audit split/dividend semantics; build a causal price or total-return index from event-dated actions rather than using retrospectively adjusted history blindly.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS054,Stooq — LQD.US daily OHLCV,https://stooq.com/q/d/?s=lqd.us,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2002-07-22,current_or_provider_archive,daily,end of day,vendor may correct history,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Cross-asset predictor only. Audit split/dividend semantics and reconcile with issuer records.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS055,Stooq — TLT.US daily OHLCV,https://stooq.com/q/d/?s=tlt.us,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2002-07-22,current_or_provider_archive,daily,end of day,vendor may correct history,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Cross-asset predictor only. Audit split/dividend semantics and reconcile with issuer records.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS056,Stooq — pre-2011 Select Sector SPDR daily OHLCV set,https://stooq.com/q/d/?s=xly.us,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1998-12-22,current_or_provider_archive,daily,end of day,vendor may correct history,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,"Nine pre-2011 sector ETFs (XLB/XLE/XLF/XLI/XLK/XLP/XLU/XLV/XLY); audit each symbol, calendar, distributions and survivorship. Do not backfill later-created sectors.",not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS057,CME DataMine — E-mini S&P 500 historical data,https://datamine.cmegroup.com/,false,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1997-09-09,current_or_provider_archive,tick/daily,vendor,vendor corrections,yes_by_purchase,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,not_runnable,High-quality but violates zero incremental data cost.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",not_execution_grade,See data_acquisition_plan.md; never substitute silently.,not_free,High-quality but violates zero incremental data cost.
DS058,Nasdaq Data Link — continuous ES futures,https://data.nasdaq.com/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",varies,current_or_provider_archive,daily,vendor,vendor-generated continuous history,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,not_runnable,"Free status, roll construction and licensing not verified as a stable zero-cost source.",not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",not_execution_grade,See data_acquisition_plan.md; never substitute silently.,rejected_unverifiable,"Free status, roll construction and licensing not verified as a stable zero-cost source."
DS059,CRSP U.S. Stock Database,https://www.crsp.org/,false,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1925-12-31,current_or_provider_archive,daily/monthly,vendor,research updates,point_in_time,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,not_runnable,Excellent survivorship/corporate-action data but paid.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",not_execution_grade,See data_acquisition_plan.md; never substitute silently.,not_free,Excellent survivorship/corporate-action data but paid.
DS060,S&P Compustat,https://www.spglobal.com/marketintelligence/en/solutions/compustat,false,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1950-01-01,current_or_provider_archive,quarterly/annual,vendor,restatements/vintages,vendor,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,not_runnable,Paid fundamentals and index membership.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",not_execution_grade,See data_acquisition_plan.md; never substitute silently.,not_free,Paid fundamentals and index membership.
